Species,Prediction set,Transcripts (n),Checked (n),Frame failure (n),No ATG start (n),No terminal stop (n),Internal stop (n),Fully consistent (n),Fully consistent (%),Duplicate transcripts (n),Mean isoforms per gene
Brassica rapa,"TransGenic 160M, de novo",39630,39630,23910,14921,28502,30923,2650,6.69,463,1.024
Brassica rapa,"TransGenic 160M, reference-prompted",45174,45174,1767,1030,725,1757,42664,94.44,3035,1.166
Brassica rapa,"TransGenic 160M, self-prompted",50877,50877,31036,20150,37189,38625,2976,5.85,3490,1.314
Brassica rapa,"TransGenic 400M, de novo",39254,39254,20699,3689,11374,23003,8755,22.3,100,1.014
Brassica rapa,"TransGenic 400M, reference-prompted",42707,42707,1009,258,221,1016,41446,97.05,458,1.103
Brassica rapa,"TransGenic 400M, self-prompted",45241,45241,24410,4936,13564,26042,9624,21.27,1515,1.169
Glycine max,Reference annotation,80374,80374,0,5,4,0,80367,99.99,57,1.661
Glycine max,"TransGenic 160M, de novo",53207,53207,33352,24122,41580,45001,1880,3.53,2372,1.104
Glycine max,"TransGenic 160M, reference-prompted",61974,61974,2272,1357,914,2609,58721,94.75,7957,1.282
Glycine max,"TransGenic 160M, self-prompted",75853,75853,48703,37098,59927,63752,2216,2.92,12423,1.577
Glycine max,"TransGenic 400M, de novo",51116,51116,29313,6172,17454,33869,7671,15.01,770,1.062
Glycine max,"TransGenic 400M, reference-prompted",56965,56965,1318,506,365,1667,54910,96.39,2550,1.18
Glycine max,"TransGenic 400M, self-prompted",66024,66024,38719,9776,24315,43409,8989,13.61,6960,1.373
Lactuca sativa,Reference annotation,62656,62656,0,1547,1626,0,59939,95.66,698,1.61
Lactuca sativa,"TransGenic 160M, de novo",41103,41103,22631,22704,33277,34835,1579,3.84,1232,1.058
